ATHX,10-Oct-18,2.12,2.15,2.06,2.06,-2.83,1018800
ATIS,10-Oct-18,0.39,0.405,0.323,0.34,-12.82,889200
ATLC,10-Oct-18,3.46,3.69,3.41,3.41,-1.45,19800
ATLO,10-Oct-18,28.5,28.69,27.325,27.9,-2.11,10100
ATNI,10-Oct-18,73.12,75.435,72.71,72.73,-0.53,58300
ATNX,10-Oct-18,14.24,14.41,13.56,13.57,-4.71,262800
ATOM,10-Oct-18,5.97,6.33,5.81,5.89,-1.34,92200
ATOS,10-Oct-18,1.66,1.66,1.56,1.59,-4.22,106900
ATRA,10-Oct-18,36.83,36.83,35.2,35.53,-3.53,562500
ATRC,10-Oct-18,32.5,32.95,30.38,30.5,-6.15,405300
ATRI,10-Oct-18,683.99,709.525,673.05,680,-0.58,19900
ATRO,10-Oct-18,40.22,40.73,37.68,37.75,-6.14,108100
ATRS,10-Oct-18,3.62,3.67,3.32,3.37,-6.91,3537500
ATSG,10-Oct-18,21.81,21.81,21.07,21.39,-1.93,401900
ATTU,10-Oct-18,16.51,16.68,15.51,15.53,-5.94,241100
ATVI,10-Oct-18,77.47,77.64,73.43,73.58,-5.02,9814200
ATXI,10-Oct-18,2.5,2.64,2.08,2.1,-16.00,16700
AUBN,10-Oct-18,40,40,39.24,39.24,-1.90,1600
AUDC,10-Oct-18,9.66,9.67,9.18,9.22,-4.55,105800
AUPH,10-Oct-18,5.93,6.02,5.65,5.76,-2.87,748800
AUTL,10-Oct-18,27.14,28,24.6,24.65,-9.17,33600
AUTO,10-Oct-18,2.64,2.65,2.58,2.58,-2.27,55700
AVAV,10-Oct-18,97.34,97.69,92.65,94.41,-3.01,584000
AVDL,10-Oct-18,4.61,4.73,4.51,4.59,-0.43,72700
AVEO,10-Oct-18,2.86,2.86,2.65,2.74,-4.20,2560400
AVGO,10-Oct-18,242.93,245.07,231.64,231.83,-4.57,5632700
AVGR,10-Oct-18,1.16,1.2,1.1,1.15,-0.86,278600
AVID,10-Oct-18,5.8,5.8,5.59,5.66,-2.41,267900
AVNW,10-Oct-18,16.48,16.66,16.23,16.25,-1.40,14000
AVRO,10-Oct-18,25.01,26.09,22.74,23.75,-5.04,144600
AVT,10-Oct-18,41.67,41.67,39.85,39.9,-4.25,1165700
AVXL,10-Oct-18,2.57,2.6,2.45,2.45,-4.67,145800
AWRE,10-Oct-18,3.61,3.71,3.61,3.61,0.00,4500
AWSM,10-Oct-18,7.99,7.99,6.66,7.33,-8.26,240600
AXAS,10-Oct-18,2.31,2.33,2.15,2.15,-6.93,1809000
AXDX,10-Oct-18,17.99,18.04,17.24,17.37,-3.45,364700
AXGN,10-Oct-18,34.3,34.35,32.67,32.95,-3.94,906400
AXON,10-Oct-18,2.2,2.24,2.08,2.09,-5.00,757400
AXSM,10-Oct-18,3.22,3.25,3.03,3.11,-3.42,178300
AXTI,10-Oct-18,6.44,6.46,6.03,6.06,-5.90,507100
AY,10-Oct-18,20.24,20.5,20.06,20.09,-0.74,321400
AYTU,10-Oct-18,1.12,1.23,1.04,1.12,0.00,565900
AZPN,10-Oct-18,106.08,106.08,101.1,101.14,-4.66,563800
AZRX,10-Oct-18,2.25,2.39,2.22,2.23,-0.89,37800
BABY,10-Oct-18,33.92,34.15,33.02,33.08,-2.48,231800
